Gene stable ID,Gene name,Gene type,Database of genes from NCBI RefSeq genomes ID
LOC4800469,,protein_coding,4800469
LOC117183904,,lncRNA,117183904
LOC4817678,,protein_coding,4817678
LOC4802443,,protein_coding,4802443
LOC4800511,,protein_coding,4800511
LOC6902928,,protein_coding,6902928
LOC4817670,,protein_coding,4817670
LOC4812262,,protein_coding,4812262
LOC4804679,,protein_coding,4804679
LOC4816644,,protein_coding,4816644
LOC4805372,,protein_coding,4805372
LOC4813897,,protein_coding,4813897
LOC4814000,,protein_coding,4814000
LOC4817545,,protein_coding,4817545
LOC6902772,,protein_coding,6902772
LOC117184539,,lncRNA,117184539
LOC117185648,,lncRNA,117185648
LOC4805246,,protein_coding,4805246
LOC4801688,,protein_coding,4801688
LOC117183933,,protein_coding,117183933
LOC4813397,,protein_coding,4813397
LOC4801899,,protein_coding,4801899
LOC4804056,,protein_coding,4804056
LOC26532421,,protein_coding,26532421
LOC4812348,,protein_coding,4812348
LOC4804038,,protein_coding,4804038
LOC26532815,,protein_coding,26532815
LOC6898029,,protein_coding,6898029
LOC6898157,,protein_coding,6898157
LOC26533619,,lncRNA,26533619
LOC4813400,,protein_coding,4813400
LOC117184498,,lncRNA,117184498
LOC6898675,,protein_coding,6898675
LOC4802761,,protein_coding,4802761
LOC4818134,,protein_coding,4818134
LOC6897282,,protein_coding,6897282
LOC117184901,,lncRNA,117184901
LOC117183334,,lncRNA,117183334
LOC4811769,,protein_coding,4811769
LOC117184333,Trnaq-cug-6,tRNA,117184333
LOC26532853,,protein_coding,26532853
LOC4805300,,protein_coding,4805300
LOC4812260,,protein_coding,4812260
LOC4815623,,protein_coding,4815623
LOC117185246,,pseudogene,117185246
LOC4815983,,protein_coding,4815983
LOC6898977,,protein_coding,6898977
LOC4817017,,protein_coding,4817017
LOC4814925,,protein_coding,4814925
LOC6903881,,protein_coding,6903881
LOC4805718,,protein_coding,4805718
LOC4801998,,protein_coding,4801998
LOC4813439,,protein_coding,4813439
LOC4815734,,protein_coding,4815734
LOC117185264,,snoRNA,117185264
LOC4813027,,protein_coding,4813027
LOC4813049,,protein_coding,4813049
LOC6899891,,protein_coding,6899891
LOC6898785,,protein_coding,6898785
LOC4816343,,protein_coding,4816343
LOC4815200,,protein_coding,4815200
LOC4803162,,protein_coding,4803162
LOC6897514,,protein_coding,6897514
LOC6900536,,protein_coding,6900536
LOC6902833,,protein_coding,6902833
LOC6898404,,protein_coding,6898404
LOC6903654,,protein_coding,6903654
LOC4817303,,protein_coding,4817303
LOC4811747,,protein_coding,4811747
